benchmark_id,category,complexity_type,reasoning_family,answer_mode,num_answers,reconstructability_score_v2,surface_template,question_en_original,answer_text_en,manual_decision,manual_bucket,mintaka_reconstruction_idea,target_domain_ru,notes
mintaka_test_4af81c8c,videogames,multihop,multihop,list_like,3,15,<ent> awards was the latest <ent> game nominated for at <ent> <year>?,Which awards was the latest Animal Crossing game nominated for at The Game Awards 2020?,"Best Family Game, Best Multiplayer Game, Game of the Year",,,,,
mintaka_test_63690199,books,multihop,multihop,list_like,3,15,<ent> produced the movie that's based on the <ent> book released in <year>?,Who produced the movie that's based on the Harry Potter book released in 2004?,"Chris Columbus, David Heyman, Mark Radcliffe",,,,,
mintaka_test_5bd63af8,politics,multihop,multihop,list_like,2,15,<ent> were the first two senators to represent the latest state added to the <ent>?,Who were the first two senators to represent the latest state added to the Union?,Hiram Fong and Oren E. Long,,,,,
mintaka_train_08cbd2e7,history,multihop,multihop,list_like,2,15,<ent> wives of us presidents were also mothers of us presidents?,Which wives of US presidents were also mothers of US presidents?,"Abagail Adams, Barbara Bush",,,,,
mintaka_train_29e5bf22,videogames,multihop,multihop,list_like,3,14,<ent> were the playable characters of the fourth <ent> game and its expansions?,Who were the playable characters of the fourth Grand Theft Auto game and its expansions?,"Niko Bellic, Johnny Klebitz, Luis Fernando Lopez",,,,,
mintaka_train_05e10f57,history,multihop,multihop,list_like,2,14,<ent> was the first president of the <ent> born?,Where was the first president of the United States born?,"Westmoreland County, Virginia",,,,,
mintaka_train_b9354cf6,music,multihop,multihop,list_like,2,14,<ent> city did the band that wrote <quote> come from?,"Which city did the band that wrote ""Shiny Happy People"" come from?","Athens, GA",,,,,
mintaka_validation_304b59eb,sports,multihop,multihop,list_like,2,14,<ent> was the top scorer of the <ent> tournament this year?,Who was the top scorer of the Copa America tournament this year?,"Lionel Messi, Luis Diaz",,,,,
mintaka_train_91c7335e,videogames,multihop,multihop,list_like,3,13,<ent> are the love interests in <ent> <num>?,Who are the love interests in Mass Effect 1?,"Kaidan Alenko, Ashley Williams, Liara T'Soni",,,,,
mintaka_train_b5103288,sports,multihop,multihop,list_like,3,13,<ent> was <ent>' two-way star born?,Where was Los Angeles Angels' two-way star born?,"Oshu, Iwate, Japan",,,,,
mintaka_test_655db184,sports,multihop,multihop,list_like,2,13,<ent> was the pitcher for the winning team in the first <ent>?,Who was the pitcher for the winning team in the first World Series?,Bill Dinneen and Cy Young,,,,,
mintaka_train_19f244a1,politics,multihop,multihop,list_like,2,13,<ent> was the wife of the 10th us president?,Who was the wife of the 10th US president?,Letitia & Julia Tyler,,,,,
mintaka_train_76dc240c,videogames,multihop,multihop,list_like,2,13,<ent> platforms can the first <ent> mobile game be played on?,What platforms can the first Animal Crossing mobile game be played on?,"Android, iOS",,,,,
mintaka_train_92b34ba1,politics,multihop,multihop,list_like,2,13,<ent> were the children of <ent>'s only female prime minister?,Who were the children of India's only female prime minister?,Rajiv Gandhi and Sanjay Gandhi,,,,,
mintaka_train_af82fcbd,books,multihop,multihop,list_like,2,13,<ent> was in charge of the screenplay on the movie that was based on the third book of <ent> of the <ent>?,Who was in charge of the screenplay on the movie that was based on the third book of Lord of the Rings?,"Frank Walsh, Philippa Boyens, Peter Jackson",,,,,
mintaka_train_d8a4fd32,videogames,multihop,multihop,list_like,2,13,"<ent> were the two initial continents in the video game that <ent> released on <ent> <num>, <year>?","What were the two initial continents in the video game that Blizzard Entertainment released on November 23, 2004?","Kalimdor, Eastern Kingdoms",,,,,
mintaka_train_ec2f1490,videogames,multihop,multihop,list_like,2,13,<ent> characters were <ent>'s best friends and his quest companions?,What Disney characters were Sora's best friends and his quest companions?,Donald Duck and Goofy,,,,,
mintaka_validation_678c0c86,politics,multihop,multihop,list_like,2,13,<ent> was the wife of the 23rd president?,Who was the wife of the 23rd president?,Mary Dimmick Harrison and Caroline Harrison,,,,,
mintaka_test_7215395f,sports,multihop,multihop,list_like,2,12,<ent> is the <year> al mvp from?,Where is the 2020 AL MVP from?,"Cruces, Cuba",,,,,
mintaka_test_a63f4fcf,books,multihop,multihop,list_like,2,12,<ent> was the author who wrote the <ent> books born?,Where was the author who wrote the Jurassic Park books born?,"Chicago, IL",,,,,
mintaka_train_0f501f46,books,multihop,multihop,list_like,2,12,<ent> co-collaborated on the script for <ent>?,Who co-collaborated on the script for The Godfather?,Mario Puzo Francis Ford Coppola,,,,,
mintaka_train_2c1804b1,videogames,multihop,multihop,list_like,2,12,<ent> what is the name of <ent><quote>s best friends?,In Kingdom Hearts what is the name of Sora's Nobody's best friends?,Xion and Axel,,,,,
mintaka_train_7ab42179,sports,multihop,multihop,list_like,2,12,<ent> was the head coach of <ent> cf born?,Where was the head coach of Real Madrid CF born?,"Reggiolo, Italy",,,,,
mintaka_train_f31def6d,music,multihop,multihop,list_like,2,12,<ent> was the drummer from r.e.m. born?,Where was the drummer from R.E.M. born?,"Duluth, Minnesota",,,,,
mintaka_train_fb2caf1b,books,multihop,multihop,list_like,2,12,<ent> did the winner of the <year> <ent> in <ent> go to university?,Where did the winner of the 2017 Nobel Prize in Literature go to university?,University of Kent at Canterbury and University of East Anglia,,,,,
mintaka_validation_2edc90bd,music,multihop,multihop,list_like,2,12,<ent> drummer for <ent> was born in what city?,The drummer for Nirvana was born in what city?,"Warren, Ohio",,,,,
mintaka_train_2548ae2c,geography,multihop,multihop,single,1,12,<ent>’s the biggest continent with the highest population?,What’s the biggest continent with the highest population?,Asia,,,,,
mintaka_train_5362eb29,geography,multihop,multihop,single,1,12,<ent> is the smallest country that is part of the largest continent?,What is the smallest country that is part of the largest continent?,Maldives,,,,,
